1,2024-01-10,Ordinateur Portable,Informatique,2,7500.0,15000.0
2,2024-01-12,Souris sans fil,Informatique,5,200.0,1000.0
3,2024-01-15,Clavier mécanique,Informatique,3,600.0,1800.0
4,2024-02-05,Smartphone,Electronique,4,4500.0,18000.0
5,2024-02-07,Casque Bluetooth,Electronique,2,1200.0,2400.0
6,2024-02-10,Tablette,Electronique,1,3200.0,3200.0
7,2024-03-02,Imprimante,Informatique,1,2500.0,2500.0
8,2024-03-05,Disque dur externe,Informatique,3,900.0,2700.0
9,2024-03-12,Écouteurs sans fil,Electronique,4,800.0,3200.0
10,2024-03-20,Chargeur rapide,Electronique,6,150.0,900.0
11,2024-04-01,Écran 27 pouces,Informatique,2,3200.0,6400.0
12,2024-04-05,Clé USB 64Go,Informatique,10,150.0,1500.0
13,2024-04-10,Smartwatch,Electronique,3,2800.0,8400.0
14,2024-04-15,PC Gamer,Informatique,1,15000.0,15000.0
15,2024-04-20,Enceinte Bluetooth,Electronique,2,2500.0,5000.0
16,2024-01-10,Ordinateur Portable,Informatique,2,1500.0,3000.0
